pmid,title,abstract,year,journal,doi,authors
41174684,Parent-guided home skin care for infants via a WeChat platform: a study protocol for a cluster randomized controlled trial.,"Diaper dermatitis and eczema are common skin conditions that affect infants with a high incidence rate. The prevention and management of these conditions largely depend on parents' adherence to appropriate home skin care practices, with the effectiveness of these practices closely linked to their accurate and consistent implementation. WeChat, a widely used messaging platform in China, has demonstrated potential in promoting health awareness and self-management strategies. We have developed a WeChat-based parent-guided home skin care scheme for infants, specifically designed to assist parents in managing the skin care of newborns. This study aims to evaluate the effectiveness of parent-guided home skin care administered via the WeChat platform in preventing diaper dermatitis and eczema in infants aged 0-6 months, using a clustered randomized controlled trial design.",2025,Trials,10.1186/s13063-025-09186-x,Tongling Yang; Yuying Chen; Yalan Dou; Mengfan Qiu; Yanchen Wang; Siyuan Jiang; Xiaojing Hu
41174337,A Multidisciplinary Hospital-at-Home Program in a Tertiary Singapore Hospital: A Comparative Study.,"Hospital-at-home (HaH) is an alternative care model that delivers acute, inpatient-level care in patients' homes and is well-established in Western countries. Given the unique challenges facing Asian healthcare systems, there is a need to evaluate the impact of HaH in this context.",2025,Journal of general internal medicine,10.1007/s11606-025-09900-0,Natalie Yingxian Ong; Shirley Xin Jin Chu; Milawaty Nurjono; Jin Wee Ng; Hong Choon Oh; Qin Yong See
41174222,"Adapting health, economic and social policies to address population aging in China.","Despite its rapid economic rise over the past four decades, China now grapples with the challenge of accommodating and supporting its expanding aging population. In 2020, 18% of its population were over age 60, and 2.5% were over age 80, projected to rise to 39% and 10%, respectively, by 2050. This demographic shift places China at the forefront of diverse individual, familial and societal challenges. Here, we review these challenges in the context of emerging breakthroughs in basic and translational research, shifts in healthcare paradigms, evolving socioeconomic and political dynamics, and policy innovations. We synthesize China's current policies toward promoting healthy longevity in the general population, focusing on social health insurance, long-term care insurance, community and home-based care and palliative care, as well as gerontological research, public health prevention, nutritional and medical interventions, while identifying strengths and gaps. Finally, we propose suggestions to promote a more inclusive, resilient and happier aging society within China's distinctive sociopolitical and cultural context.",2025,Nature aging,10.1038/s43587-025-00999-8,Evandro F Fang; Yuan Fang; Guobing Chen; He-Ling Wang; Jianying Zhang; Chenkai Wu; Jing Liao; Chenglong Xie; Xiaoting Liu; Kan Wang; Yang Liu; Guang Yang; Qian Wang; Long-Tao He; Jun Li; Hou-Zao Chen; Lin Kang; Yawen Jiang; Huanxing Su; Hong Jiang; Na He; Jun Tao; Sean Xiao Leng; Richard C Siow; Chunrong Liu; Hafiz T A Khan; Yuanli Liu; Hisaya Kato; Takashi Sasaki; Jong In Kim; Andrea Britta Maier; Lin Zhang; Lene Juel Rasmussen; Jean Woo; Jing Wu; Huachun Zou
41171627,Physician Perspectives on Home Health Implementation in South Korea: Challenges and Future Directions.,"South Korea's rapidly aging population necessitates alternative healthcare delivery models beyond its hospital-centric system. Home-based care has been widely recognized for its potential to enhance patient outcomes, reduce hospital burden, and provide cost-effective care. However, integrating home-based care into South Korea's healthcare system presents significant challenges.",2025,Journal of community health nursing,10.1080/07370016.2025.2577887,Dae Hyun Kim; Soojin Kim; Joo Hyung Kim
41170531,Piloting the MIND at Home Dementia Care Navigation Program in primary care.,"Persons living with dementia (PLWDs) have complex needs and high expenses, and primary care (PC) plays a key role in their care. However, few American PLWDs receive adequate care, and many have unmet but potentially modifiable dementia-related care needs. Embedding effective evidence-based care strategies into PC settings is an opportunity to reduce excess burden but remains rare. This study evaluated the feasibility and potential impact of adapting and implementing the MIND at Home Dementia Care Navigation Program (MIND at Home) into PC at two large unique health systems in the United States.",2025,"Alzheimer's & dementia (New York, N. Y.)",10.1002/trc2.70170,Elizabeth Ciemins; Stephen Shields; Halima Amjad; Monette McKinnon; Melissa Reuland; Mia Yang; Quincy Samus
41168511,Home-based treatment for patients with hematological cancer in Denmark-A national overview.,To investigate the extent and practice of home-based treatment for patients with hematologic malignancies in Denmark.,2025,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,10.1007/s00520-025-10048-0,Kristina Holmegaard Nørskov; Hanne Bødtcher; Tine Rosenberg; Camilla Thim Damgaard; Iben Husted Nielsen; Helle Enggaard; Susanne Oksbjerg Dalton
41167094,Home-based psychiatric hospitalization for children and adolescents during war times.,"Home-based psychiatric hospitalization (HBPH) has gained traction as a flexible alternative to inpatient care for adolescents with complex psychiatric conditions, but little is known about its feasibility when implemented rapidly during national crises. This retrospective study examined clinical outcomes and parental experiences following an emergency transition to HBPH during the Iran-Israel war. The sample included 22 adolescents (91% female, M_age = 15.15) with eating and other psychiatric disorders who were receiving care in inpatient or day hospital settings. Due to the two-week conflict, all participants were transitioned to a structured HBPH model combining remote clinical interventions (e.g., psychotherapy, psychiatric monitoring, nutritional support) with active parental involvement and local medical follow-up. Outcomes were assessed using clinician-rated (CGI-S, CGI-I), patient-reported (EDE-Q13), and parent-reported measures of self-efficacy, satisfaction, and treatment effectiveness. Results showed no clinical deterioration and moderate improvements in symptom severity and BMI. Parental self-efficacy was significantly associated with lower symptom burden and better clinical outcomes. While parents reported high satisfaction with the support provided by the clinical team, some expressed reservations about the broader applicability of the model, likely influenced by the sudden transition to home-based care. These findings suggest that HBPH, when supported by structured guidance and strong caregiver involvement, can be an effective alternative to institutional care even under emergency conditions. Moreover, the results highlight parental self-efficacy as a key therapeutic mechanism that may enhance treatment outcomes. This study adds to the growing evidence base supporting family-centered care models and offers insights for emergency mental health service planning.",2025,Psychiatry research,10.1016/j.psychres.2025.116788,Orly Lavan; Keren Fridwald; Amit Goldstein; Ori Laufer Laor; Avital Eberhard; Mira Horwitz; Nofar Valik; Tamar Tahar; Noa Benaroya-Milshtein
41164840,Utilization of home- and community-based services among rural family caregivers of persons with dementia: the role of the area deprivation index.,"Dementia significantly impacts rural communities in the U.S., presenting unique challenges for family caregivers due to limited access to essential support services. This study examines the influence of area-level factors on the utilization of home- and community-based services among rural caregivers.",2025,Frontiers in public health,10.3389/fpubh.2025.1688161,Jasmine Santoyo-Olsson; Kenneth E Covinsky; Jing Cheng; Dolores Gallagher Thompson; Veronica Yank
41164715,Out-of-Pocket Expenditure for HNF Palliative Care Among Cancer Patients in the Urban Centre of Hyderabad: A Cross-Sectional Study.,"Out-of-pocket expenditure (OOPE) remains a major barrier to accessing timely and quality palliative care services in India, particularly among low-income urban populations. Limited public funding for home-based palliative care further exacerbates the financial burden on families.",2025,Journal of pharmacy & bioallied sciences,10.4103/jpbs.jpbs_886_25,Shrikanth Muralidharan; Ram Devendra Gudgila; Ketaki Parimal Chaudhari; Madhuri Uttamrao Misal; Sushma Katkuri
41160539,Evaluating the sustainability and long-term outcomes of the Home Care Support Intervention Program (HoSIP) to reduce loneliness among community-dwelling older adults: A two-year follow-up study.,Understanding the long-term effects of home care support programs on loneliness in older adults is crucial for optimizing service delivery and improving the quality of life and care. This research explores the Sustainability and Long-Term Outcomes of the Home Care Support Intervention Program (HoSIP) to Reduce Loneliness among Community-dwelling Older Adults: A two-year follow-up study.,2025,PloS one,10.1371/journal.pone.0331987,Elham Lotfalinezhad; Shannon Freeman; Ahmad Kousha; Karen Andersen-Ranberg; Jeffrey E Stokes; Sama Amirkhani-Ardeh; Ahmad Sohrabi; Farzaneh Barati; Mina Hashemiparast; Mohammad Asghari-Jafarabadi; Mohammad Reza Honarvar; Haidar Nadrian
