pmid,title,abstract,year,journal,doi,authors
41176393,"Innovations in the biomedical prevention, diagnosis, and service delivery of HIV and other sexually transmitted infections.","The interconnectedness of the global HIV and sexually transmitted infection (STI) epidemics necessitates integrated strategies to address both. This Series paper highlights the biological link between HIV and STIs, and describes the successful progress in HIV response versus STI response over the past decades. The concept of undetectable=untransmissible (U=U) in HIV treatment has revolutionised HIV prevention by reducing stigma and promoting early treatment. In line with this approach, we discuss the role of chronic suppressive therapy for herpes simplex virus type 2 and the importance of the accurate diagnosis and treatment of curable STIs to prevent transmission between sexual partners. This Series paper explores the potential of pre-exposure prophylaxis (PrEP) for HIV in different forms (eg, daily oral PrEP, event-driven PrEP, and long-acting injectable PrEP), and highlights the challenges of adherence to daily regimens and the promise of longer-acting agents, such as cabotegravir and lenacapavir. The potential of doxycycline post-exposure prophylaxis for the prevention of bacterial STIs is also discussed, with concerns about antimicrobial resistance. Although vaccine development for HIV and STIs is a key biomedical advance, we discuss the challenges and possibilities of developing effective vaccines, including lessons learnt from previous HIV vaccine trials, the potential of mRNA-based vaccines for herpes simplex virus, ongoing trials for gonorrhoea and chlamydia vaccines, and the impact of existing human papillomavirus and mpox vaccines. Diagnostic innovations emphasise the importance of point-of-care tests for HIV and STIs. This Series paper discusses the benefits, landscape, and pipeline of rapid diagnostic tests (eg, lateral flow tests and molecular assays) and the challenges of implementing these tests in low-resource settings, particularly the need for rapid results to inform clinical decisions, promote convenience, and reduce cost. This Series paper also addresses innovations in service delivery and advocates for integrated and person-centred approaches (eg, differentiated services) that combine HIV and STI services, and highlights the potential of community-based and home-based models to improve access and reduce stigma.",2025,"Lancet (London, England)",10.1016/S0140-6736(25)00983-3,Remco P H Peters; Beatriz Grinsztejn; Connie Celum; Kenneth H Mayer; Jean-Michel Molina; Sinead Delany-Moretlwe; Kenneth Ngure; Sergio Torres-Rueda; Rebecca J Guy; Peter Reiss; Rashida A Ferrand; Rossaphorn Kittiyaowamarn; Linda-Gail Bekker
41176291,Target product profile and discovery and development path for novel cryptococcal disease treatments.,"Cryptococcus neoformans and Cryptococcus gattii are World Health Organization critical and medium priority pathogens, respectively. These mainly impact people with human immunodeficiency virus residing in low- and middle-income countries, but other patient groups and settings are also affected. The high global morbidity and mortality and the limitations of current treatments provided an impetus for the development of a target product profile (TPP) for new anti-cryptococcal agents. Key attributes of the TPP include improved safety, superior (or at least comparable) activity to current treatments against all syndromes across the full disease spectrum (cryptococcal meningitis, cryptococcal pneumonia, etc.), relevance for C. neoformans and C. gattii, suitability for all age groups, oral and intravenous formulations, an acceptable treatment regimen, minimal/manageable drug-drug interactions, thermostability, and a barrier to resistance at least as high as current options. The aim of this TPP, along with the suggested discovery and development paths, is to assist all stakeholders in the development of novel cryptococcal disease treatments.",2025,The Journal of infection,10.1016/j.jinf.2025.106643,David B Meya; Manu De Rycker; Ian H Gilbert; William Hope; Justine Jelagat Odionyi; Michael Keegan; Angela Loyse; Pablo Moral-Lopez; Peter R Williamson; Lionel K Tan; Sabela Ribeiro; Timothy J Miles
41176288,Development of a bi-epitope peptide as fail-safe internal control for a modified proximity extension assay and implementation in the detection of procalcitonin in human plasma.,"Proximity Extension Assay (PEA) is a simple, minimally invasive assay developed for proteomic applications and biomarker detection in biological samples. The method is the combination of a homogeneous-phase immunoassay with quantitative PCR-based detection. With the aim of providing a fail-safe check for the successive steps of a new PEA-derived protocol, from sample addition to quantitative PCR, an internal control (IC) was designed. The IC consisted of a synthetic peptide made of the concatenation of three Amino Dioxa-octanoic Acid spacers inserted between two epitope-tags. The efficiency of the peptide design was checked in plasma spiked with the IC. It has been shown that the IC can be co-detected with at least one biomarker of diagnostic interest in human plasma specimens (here procalcitonin or PCT), without PCR cross-interference, and with no evidence of major interference with plasma proteins. The dynamic range of the IC peptide detection encompasses 3 orders of magnitude in concentration. At a given concentration, when tested in parallel with PCT on several human samples, Ct values for the IC remained stable while the Ct values for PCT decreased with increasing PCT concentrations. The work shown here represents a preliminary study aimed at establishing proof-of-concept for the use of a peptide containing two epitope tags as a suitable internal control in proximity assays.",2025,Journal of microbiological methods,10.1016/j.mimet.2025.107319,Frederic Bedin; Vincent Benoit; Agnes Rubens; Xavier Lacoux; Frederic Foucault; Pierre Imbaud
41175874,Genomic copy-number variants drive apoptotic evasion underlying acquired resistance to immune checkpoint inhibitors.,"Patients who initially respond to immune checkpoint inhibitors (ICIs) often relapse. Here, we studied how disease-progressive (DP) clinical melanomas evolve genomically to acquire ICI resistance. Compared to patient-matched pretreatment tumors, DP tumors recurrently amplified and/or deleted anti-apoptotic and/or pro-apoptotic genes, respectively. By chronic exposure to killer T cells or ICI therapy, we derived acquired-resistant (AR) human melanoma cell lines and murine melanoma tumors that recapitulate co-occurrent copy-number variants (CNVs) of apoptotic genes observed in DP melanomas. AR and DP subclones expanded shared, private, and, in some subclones, preexistent driver CNVs. Compared to isogenic parental cells, AR melanoma cells attenuated apoptotic priming but, with overexpression of deleted pro-apoptotic genes, recovered mitochondrial priming and sensitivity to killer T cells or ICIs. In mice, pharmacologically reducing the apoptotic threshold of ICI persisters prevented relapses. Thus, CNVs can drive the evolution of resistance to ICIs in melanoma, with tumor cell-intrinsic apoptotic threshold representing a target to curtail persister evolution.",2025,Immunity,10.1016/j.immuni.2025.10.001,Mingming Wu; Shiyue Yang; Zhentao Yang; Jian Fan; Shirley H Lomeli; Prashanthi Dharanipragada; Gatien Moriceau; Robert Damoiseaux; Mark C Kelley; Carlos N Prieto-Granada; Alessio Giubellino; Mehdi Nosrati; Mohammed Kashani-Sabet; Kevin B Kim; Douglas B Johnson; Sixue Liu; Roger S Lo
41175538,"Comparison of the Predictive Power of Blood Urea Nitrogen/Albumin, Lactate/Albumin, and C-reactive Protein/Albumin Ratios for Prognosis of Mortality in Critically Ill Geriatric Patients in the Emergency Department.",Critically ill geriatric patients presenting to the emergency department have high mortality rates. Identifying reliable biomarkers that predict short-term mortality in this population is crucial for risk stratification and clinical decision-making.,2025,The Journal of emergency medicine,10.1016/j.jemermed.2025.08.031,Serdar Özdemir; İbrahim Altunok; Abuzer Özkan
41175442,Predicting surgery within one week of emergency department presentation for renal colic using the CLAD-MB score: A prospective cohort study.,The Complicated UroLithiasis and Alternative Diagnoses (CLAD) score was derived from a retrospective cohort to predict the likelihood of surgery within 7 days following emergency department (ED) presentation for renal colic. The objective of this study was to prospectively refine and validate the CLAD score.,2025,The American journal of emergency medicine,10.1016/j.ajem.2025.10.052,Frederic Balen; Cédrick Cideron; Marc Noizet; Marine Bastouil; Romane Bucci; Cédric Gil-Jardine; Manon Hebrard; Fares Moustafa; Mohamed Turki; Mathieu Oberlin; Venkatesh Thiruganasambandamoorthy
41175373,AAVs targeting human carbonic anhydrase IV enhance gene delivery to the brain.,"Gene therapies using natural adeno-associated virus (AAV) serotypes have restricted applications, particularly in the brain, due to their poor targeting and resulting safety concerns. Directed evolution has identified brain-enhanced engineered AAV capsids for various model organisms, but inter-species differences challenge their translation. Here, we engineer AAVs to target human carbonic anhydrase IV (CA-IV), a recently identified blood-brain barrier transcytosis receptor with several favorable properties. We perform in vitro on-column selection of an AAV library to exclude capsids that do not target human CA-IV. We subsequently screen the top 0.01% of variants in vivo in mice expressing human CA-IV in brain endothelial cells. Notably, two top-performing capsids in ""humanized"" mice are relatively lower ranked in vitro and outperform several top-ranked in vitro candidates. One of these, AAV-hCA4-IV77, achieves 100-fold-greater brain transduction than AAV9, with robust neuronal and astrocytic coverage across brain regions. These results advance our understanding of receptor-targeted capsid design and support the therapeutic potential of human CA-IV-engaging AAVs.",2025,Cell reports,10.1016/j.celrep.2025.116419,Changfan Lin; Xinhong Chen; Jonathan D Hoang; Fiona Ristic; Yujie Fan; Seongmin Jang; Jin Hyung Alex Chung; Erin E Sullivan; Tomasz Gawda; Bill Kavvathas; Irene Tran; Yitong Li; Andrew D Steele; Timothy F Shay; Viviana Gradinaru
41175273,Evaluation of factors associated with drug fever following gemcitabine and nanoparticle albumin-bound paclitaxel treatment for pancreatic cancer.,"Gemcitabine (GEM) + nanoparticle albumin-bound paclitaxel (nab-PTX) is an effective treatment for advanced pancreatic cancer. However, drug fever is a frequently observed adverse effect of GEM, and PTX can also induce symptoms. This study aimed to identify factors for drug fever in the real-world treatment of pancreatic cancer with GEM + nab-PTX.",2025,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,10.1007/s00520-025-10081-z,Yoshitaka Saito; Yoh Takekuma; Yoshito Komatsu; Mitsuru Sugawara
41175228,MOF-818 nanozyme-based biosensor for specific point-of-care testing of Bacillus subtilis in complex agricultural soil.,"Bacillus subtilis (BS) effectively suppresses soilborne pathogens and enhances crop resistance through various mechanisms. However, its efficacy is significantly influenced by effective inter-root colonization rates, among other factors, necessitating precise quantitative monitoring for optimal application. Conventional detection methods are often time-consuming and technically demanding, limiting their application in the field. To address this challenge, we developed a dual-recognition biosensing platform. Specifically, tridentate-functionalized aptamer was utilized for rapid BS enrichment and secondary recognition achieved using fragment crystallizable mannose-binding lectin (FcMBL)-modified nanozyme (MOF-818). The rigid scaffold of MOF-818 ensured superior catechol oxidase activity and environmental stability, facilitating sensitive and robust online quantification of BS in complex soil matrices. The linear detection range of the platform was 10",2025,Mikrochimica acta,10.1007/s00604-025-07526-x,Chaoqian Wu; Yanlin Wang; Nana Li; Haoqing Zhang; Tida Ge; Shaoning Yu
41175191,The beneficial effects of empagliflozin-metformin combination on cardiovascular risk factors in type 2 diabetes mellitus patients.,"Type 2 diabetes mellitus (T2DM) is a multifactorial disease closely associated with increased cardiovascular risk, involving insulin resistance (IR), dyslipidemia, oxidative stress, and systemic inflammation. Empagliflozin, a sodium-glucose cotransporter 2 (SGLT2) inhibitor, has shown cardiovascular benefits beyond glycemic control. This study aimed to evaluate the effects of Empagliflozin-Metformin combination on cardiovascular risk factors in T2DM patients. In this cross-sectional study, 124 participants were divided into three groups: healthy control group (n = 50), T2DM patients treated with metformin alone (Met group, n = 37), and T2DM patients treated with Empagliflozin-Metformin combination (Empa-Met group, n = 37). Serum levels of fasting blood glucose (FBG), HbA1c, lipid profile, insulin, hs-CRP, malondialdehyde (MDA), total antioxidant capacity (TAC), and free thiol groups (-SH) were measured. IR was assessed using the homeostatic model assessment (HOMA-IR), and cardiovascular risk was estimated using the atherogenic index of plasma (AIP) and lipid ratios. The Empa-Met group exhibited significantly higher FBG levels and lower levels of total cholesterol (TC), LDL-C, triglycerides (TG), insulin, LDL/HDL, TC/HDL ratios, and HOMA-IR compared to the Met group. The Empa-Met group also showed significantly higher -SH levels and lower MDA levels compared to the Met group. Correlation analyses revealed significant correlations between oxidative stress markers, IR, and atherogenic indices. Empagliflozin-Metformin combination therapy may offer additional benefits over metformin monotherapy in improving lipid parameters, IR, and oxidative stress in T2DM patients. These findings support the potential cardioprotective role of empagliflozin and highlight the need for long-term interventional studies to confirm our results.",2025,Naunyn-Schmiedeberg's archives of pharmacology,10.1007/s00210-025-04719-2,Maryam Aghajani Bac; Zahra Nasehi; Fouzieh Zadhoush
